date,case,event_count,fatalities,source
2022-03-01,Rohingya,47,72,SYNTHETIC_DEMO
2022-04-01,Rohingya,63,164,SYNTHETIC_DEMO
2022-05-01,Rohingya,74,134,SYNTHETIC_DEMO
2022-06-01,Rohingya,68,227,SYNTHETIC_DEMO
2022-07-01,Rohingya,22,217,SYNTHETIC_DEMO
2022-08-01,Rohingya,69,119,SYNTHETIC_DEMO
2022-09-01,Rohingya,39,49,SYNTHETIC_DEMO
2022-10-01,Rohingya,19,84,SYNTHETIC_DEMO
2022-11-01,Rohingya,25,187,SYNTHETIC_DEMO
2022-12-01,Rohingya,63,165,SYNTHETIC_DEMO
2023-01-01,Rohingya,37,183,SYNTHETIC_DEMO
2023-02-01,Rohingya,28,3,SYNTHETIC_DEMO
2023-03-01,Rohingya,99,86,SYNTHETIC_DEMO
2023-04-01,Rohingya,42,145,SYNTHETIC_DEMO
2023-05-01,Rohingya,91,193,SYNTHETIC_DEMO
2023-06-01,Rohingya,29,44,SYNTHETIC_DEMO
2023-07-01,Rohingya,83,219,SYNTHETIC_DEMO
2023-08-01,Rohingya,86,229,SYNTHETIC_DEMO
2023-09-01,Rohingya,56,211,SYNTHETIC_DEMO
2023-10-01,Rohingya,59,131,SYNTHETIC_DEMO
2023-11-01,Rohingya,46,22,SYNTHETIC_DEMO
2023-12-01,Rohingya,56,171,SYNTHETIC_DEMO
2024-01-01,Rohingya,17,47,SYNTHETIC_DEMO
2024-02-01,Rohingya,22,122,SYNTHETIC_DEMO
2024-03-01,Rohingya,46,239,SYNTHETIC_DEMO
2024-04-01,Rohingya,36,1,SYNTHETIC_DEMO
2024-05-01,Rohingya,38,98,SYNTHETIC_DEMO
2024-06-01,Rohingya,35,114,SYNTHETIC_DEMO
2024-07-01,Rohingya,39,244,SYNTHETIC_DEMO
2024-08-01,Rohingya,47,77,SYNTHETIC_DEMO
2024-09-01,Rohingya,79,185,SYNTHETIC_DEMO
2024-10-01,Rohingya,78,2,SYNTHETIC_DEMO
2024-11-01,Rohingya,38,167,SYNTHETIC_DEMO
2024-12-01,Rohingya,51,177,SYNTHETIC_DEMO
2025-01-01,Rohingya,35,15,SYNTHETIC_DEMO
2025-02-01,Rohingya,90,30,SYNTHETIC_DEMO
2025-03-01,Rohingya,64,78,SYNTHETIC_DEMO
2025-04-01,Rohingya,25,103,SYNTHETIC_DEMO
2025-05-01,Rohingya,92,128,SYNTHETIC_DEMO
2025-06-01,Rohingya,95,197,SYNTHETIC_DEMO
2025-07-01,Rohingya,44,176,SYNTHETIC_DEMO
2025-08-01,Rohingya,20,163,SYNTHETIC_DEMO
2025-09-01,Rohingya,42,94,SYNTHETIC_DEMO
2025-10-01,Rohingya,83,56,SYNTHETIC_DEMO
2025-11-01,Rohingya,33,245,SYNTHETIC_DEMO
2025-12-01,Rohingya,22,122,SYNTHETIC_DEMO
2022-01-01,MiddleEast,24,116,SYNTHETIC_DEMO
2022-02-01,MiddleEast,100,155,SYNTHETIC_DEMO
2022-03-01,MiddleEast,52,106,SYNTHETIC_DEMO
2022-04-01,MiddleEast,94,140,SYNTHETIC_DEMO
2022-05-01,MiddleEast,65,193,SYNTHETIC_DEMO
2022-06-01,MiddleEast,73,205,SYNTHETIC_DEMO
2022-07-01,MiddleEast,90,211,SYNTHETIC_DEMO
2022-08-01,MiddleEast,32,195,SYNTHETIC_DEMO
2022-09-01,MiddleEast,36,174,SYNTHETIC_DEMO
2022-10-01,MiddleEast,81,223,SYNTHETIC_DEMO
2022-11-01,MiddleEast,15,134,SYNTHETIC_DEMO
2022-12-01,MiddleEast,62,135,SYNTHETIC_DEMO
2023-01-01,MiddleEast,95,92,SYNTHETIC_DEMO
2023-02-01,MiddleEast,14,234,SYNTHETIC_DEMO
2023-03-01,MiddleEast,77,28,SYNTHETIC_DEMO
2023-04-01,MiddleEast,12,212,SYNTHETIC_DEMO
2023-05-01,MiddleEast,75,231,SYNTHETIC_DEMO
2023-06-01,MiddleEast,69,51,SYNTHETIC_DEMO
2023-07-01,MiddleEast,78,137,SYNTHETIC_DEMO
2023-08-01,MiddleEast,24,42,SYNTHETIC_DEMO
2023-09-01,MiddleEast,46,218,SYNTHETIC_DEMO
2023-10-01,MiddleEast,71,113,SYNTHETIC_DEMO
2023-11-01,MiddleEast,19,174,SYNTHETIC_DEMO
2023-12-01,MiddleEast,31,183,SYNTHETIC_DEMO
2024-01-01,MiddleEast,79,125,SYNTHETIC_DEMO
2024-02-01,MiddleEast,16,230,SYNTHETIC_DEMO
2024-03-01,MiddleEast,70,114,SYNTHETIC_DEMO
2024-04-01,MiddleEast,12,116,SYNTHETIC_DEMO
2024-05-01,MiddleEast,21,131,SYNTHETIC_DEMO
2024-06-01,MiddleEast,58,116,SYNTHETIC_DEMO
2024-07-01,MiddleEast,77,14,SYNTHETIC_DEMO
2024-08-01,MiddleEast,76,118,SYNTHETIC_DEMO
2024-09-01,MiddleEast,91,206,SYNTHETIC_DEMO
2024-10-01,MiddleEast,44,185,SYNTHETIC_DEMO
2024-11-01,MiddleEast,7,101,SYNTHETIC_DEMO
2024-12-01,MiddleEast,37,209,SYNTHETIC_DEMO
2025-01-01,MiddleEast,5,190,SYNTHETIC_DEMO
2025-02-01,MiddleEast,32,148,SYNTHETIC_DEMO
2025-03-01,MiddleEast,14,11,SYNTHETIC_DEMO
2025-04-01,MiddleEast,59,88,SYNTHETIC_DEMO
2025-05-01,MiddleEast,94,16,SYNTHETIC_DEMO
2025-06-01,MiddleEast,74,15,SYNTHETIC_DEMO
2025-07-01,MiddleEast,13,239,SYNTHETIC_DEMO
2025-08-01,MiddleEast,65,8,SYNTHETIC_DEMO
2025-09-01,MiddleEast,41,104,SYNTHETIC_DEMO
2025-10-01,MiddleEast,28,196,SYNTHETIC_DEMO
2025-11-01,MiddleEast,22,196,SYNTHETIC_DEMO
2025-12-01,MiddleEast,87,250,SYNTHETIC_DEMO
